Date,SP500,DJIA
1990-01,-0.0688172252770326,-0.05908034287374686
1990-02,0.008539042515520734,0.014170790645965825
1990-03,0.024254983989199008,0.03043486535350648
1990-04,-0.02688713874867843,-0.01863542170721877
1990-05,0.09198919015680262,0.0827699905147623
1990-06,-0.008886365756581527,0.0014009302454931483
1990-07,-0.005223158084617485,0.008508378201055988
1990-08,-0.09431418381548529,-0.10011014732204315
1990-09,-0.05118430711299804,-0.061919552012729695
1990-10,-0.006698212972973461,-0.004138667797494833
1990-11,0.05993421381578945,0.0480360966781721
1990-12,0.024827757355757596,0.028914109350887784
1991-01,0.04151775167610161,0.03900655361739935
1991-02,0.06728117486397855,0.053278224229733384
1991-03,0.022202832823658314,0.010991679908957996
1991-04,0.00031979905037093914,-0.008919440192734163
1991-05,0.03860497456817802,0.04835051439296101
1991-06,-0.0478926291527183,-0.03988439306358382
1991-07,0.04485934319582552,0.04061924830136765
1991-08,0.019648784299779676,0.006208633902182514
1991-09,-0.019143737536368444,-0.008815218819818615
1991-10,0.011834237037883666,0.017346367141015007
1991-11,-0.04390370868430493,-0.056830992799192015
1991-12,0.11158785482760014,0.09470822336147688
1992-01,-0.01992375046079986,0.017220867007696983
1992-02,0.009589542075418622,0.013743252466339895
1992-03,-0.021831862704186245,-0.009854025767359276
1992-04,0.02789271456864073,0.03820120537783955
1992-05,0.000963957075388544,0.01125301420023228
1992-06,-0.0173588320593403,-0.02307986693750186
1992-07,0.03937368405300812,0.022690974838029287
1992-08,-0.023997530034600256,-0.04019093641345983
1992-09,0.009105593819543456,0.004390004297906147
1992-10,0.0021062829709799225,-0.013876577925848843
1992-11,0.03026180665862377,0.02445525834547313
1992-12,0.010107766174460187,-0.0012374440275927379
1993-01,0.007045989450354284,0.0026930335553798646
1993-02,0.010483627354217706,0.018371601208459154
1993-03,0.018697297817929392,0.01907553377378135
1993-04,-0.025416810214496155,-0.0022008028854970663
1993-05,0.022717462810525113,0.0291403480620267
1993-06,0.0007552300106388188,-0.0032176400382147863
1993-07,-0.005327045935513808,0.0066522946008054085
1993-08,0.03443195686037592,0.03158099941516679
1993-09,-0.009987930408093648,-0.02632796987333108
1993-10,0.019392922963742842,0.035292760863205874
1993-11,-0.012910626013377002,0.0009128971170382361
1993-12,0.010091173280450949,0.01903934635377791
1994-01,0.03250074522454938,0.059740176713930726
1994-02,-0.030044995848663603,-0.03678400144783278
1994-03,-0.04574651135377483,-0.05116361605628361
1994-04,0.011530643889981596,0.012577146063212918
1994-05,0.012397143444171643,0.02082739176845405
1994-06,-0.026790823658269458,-0.03549677120666672
1994-07,0.03148990781819383,0.03849421786723162
1994-08,0.037598698607805625,0.03955903838491159
1994-09,-0.026877535318882262,-0.01794593986845261
1994-10,0.02083381640229165,0.01689481914763502
1994-11,-0.03950461260288418,-0.04321515204241422
1994-12,0.0122991182864991,0.02546246152282694
1995-01,0.02427771086083297,0.002456682070915095
1995-02,0.036074149761991636,0.04349534062114646
1995-03,0.027329193438646815,0.03655900574662474
1995-04,0.027960358793799323,0.03934396263309692
1995-05,0.03631171183995341,0.03329345308208009
1995-06,0.021278544224437423,0.020371141778309232
1995-07,0.031776040385498305,0.03344307631526955
1995-08,-0.00032023805401681926,-0.02079444065694369
1995-09,0.0400974724131713,0.03871980843975553
1995-10,-0.0049793349436904055,-0.007015961311984786
1995-11,0.04104900257953581,0.06708260785451747
1995-12,0.0174438741384928,0.00840084422276921
1996-01,0.03261738708671724,0.05436261021824773
1996-02,0.006933701552350291,0.01674049635794117
1996-03,0.007916567080580306,0.018506568081638974
1996-04,0.013431422153369565,-0.0032324230285979416
1996-05,0.022853405672085048,0.013305608825874282
1996-06,0.00225671032293695,0.002028997834554236
1996-07,-0.04574801719466748,-0.022233108090184528
1996-08,0.018813935110919333,0.015789730706414096
1996-09,0.0542033275694922,0.0473557790752126
1996-10,0.02610100323903075,0.02502647832347593
1996-11,0.07337615173263701,0.08165350334528587
1996-12,-0.021505415404998174,-0.01125933422267189
1997-01,0.061317039194819234,0.05657641506946809
1997-02,0.005927590007180461,0.009489086449760542
1997-03,-0.04261401039642643,-0.042784403016107087
1997-04,0.05840557942205704,0.06463450940839799
1997-05,0.058576884241924754,0.04594093308603231
1997-06,0.04345261557489799,0.046623925794571086
1997-07,0.07814580950788863,0.07165571890313838
1997-08,-0.057465631833399144,-0.072993943521514
1997-09,0.053153589937912304,0.04236198572628047
1997-10,-0.03447769719633775,-0.0633330396586661
1997-11,0.044586854893763794,0.05119522715362601
1997-12,0.015731597888257953,0.010890823330904631
1998-01,0.010150176798997546,-0.00022760896779339124
1998-02,0.07044919304379715,0.08084740403465496
1998-03,0.049945714161429455,0.02973301254897187
1998-04,0.009076469253460395,0.02995064666168945
1998-05,-0.018826223521475116,-0.018030820765344457
1998-06,0.0394382410752141,0.005850594666262143
1998-07,-0.01161532702578949,-0.007677596788210894
1998-08,-0.1457967185567065,-0.1513200627245087
1998-09,0.062395515617718944,0.04026358688803788
1998-10,0.08029422837244238,0.09556500251191569
1998-11,0.05912599633962534,0.06103862850758235
1998-12,0.05637528657573587,0.007116727270733092
1999-01,0.041009441536725255,0.019321608943269064
1999-02,-0.032282562686194116,-0.005582962827618387
1999-03,0.03879421536015881,0.051531282168100434
1999-04,0.03794402791554541,0.1024794199154726
1999-05,-0.02497048087268683,-0.021253049390863366
1999-06,0.054438331016794184,0.03892709479589462
1999-07,-0.03204609221889376,-0.028771830677799204
1999-08,-0.006254092044500448,0.016342332111701996
1999-09,-0.028551792268491583,-0.04546285625637159
