Date,AMZN,BA,DIS,IBM,KO,MSFT
2013-12-31,0.18820649826181576,0.07402532860877323,0.1319535349620099,0.1603679429407183,0.169682532353263,0.2757641628734197
2014-01-02,0.18909986235062862,0.0746282447821207,0.13262699807860245,0.15970512292519096,0.1681511489271212,0.27578862293633605
2014-01-03,0.18879075542081755,0.07531369679312952,0.13264237653452376,0.16101702853113206,0.1676952349526396,0.2745409077677576
2014-01-06,0.18906962747412095,0.07639944474768778,0.13327683603947896,0.1618491219688722,0.16834754792419263,0.27105742184564746
2014-01-07,0.1892869220877416,0.07678938544477158,0.1328600079743694,0.16344018756760245,0.16717458089613385,0.2704489160293811
2014-01-08,0.19270150799896593,0.07758879209890522,0.13198243615560132,0.1632667930137735,0.16666528266259986,0.2677951880701541
2014-01-09,0.19291865325073865,0.07857672611485164,0.1318676152110161,0.1633074804728713,0.1663524383005035,0.2669770866500189
2014-01-10,0.1904450066100233,0.07809607955184439,0.13213222280593678,0.16246751064203976,0.16727014323849135,0.26958903715166443
2014-01-13,0.19120275912462126,0.07907202580791722,0.1311303196968139,0.1631543826176614,0.16825113949554885,0.26718937325743736
2014-01-14,0.191862307942088,0.07765278601276523,0.13149548729380012,0.16255441402100837,0.1667176258266269,0.26971737890371134
2014-01-15,0.18944512608886566,0.07733339817834374,0.13008884453571903,0.162761425239279,0.16560323193625995,0.27476797402153263
2014-01-16,0.18917210310908858,0.07701041200168379,0.12980190000089364,0.16343877408495883,0.16518582489402825,0.2753909859093469
2014-01-17,0.19154634576274368,0.07737120181468347,0.12977444080786404,0.16506713722399863,0.16387042864120224,0.27237044574950786
2014-01-21,0.19428203893915158,0.07770553282859542,0.1296063006039536,0.16292914064116584,0.16583149396844352,0.26964549301869006
2014-01-22,0.1940531585508699,0.07958392561642733,0.13220540449030402,0.15837645146765864,0.16658033407125186,0.26920072580348814
2014-01-23,0.19301048023445716,0.07838340407610553,0.13211219783674175,0.159784904722516,0.1648476097889634,0.27186140334121617
2014-01-24,0.18914815292774945,0.07663322941403392,0.12987020386053857,0.15881269215457366,0.16496398706169388,0.2805717345814106
2014-01-27,0.19022287017186731,0.07773380829250968,0.1302074023199617,0.15870853425660705,0.16599675244689055,0.2771306325121636
2014-01-28,0.1929809162432942,0.07707958295025409,0.1304938679458849,0.15675208051769507,0.16552002841271213,0.2771735239301596
2014-01-29,0.19053647401110815,0.07396353995646998,0.12945842031108826,0.15848317733768674,0.16358804438159466,0.2839703440020523
2014-01-30,0.19701150172117146,0.07108180087418728,0.13099140464428188,0.15707073072811026,0.16240130171061806,0.28144326032163103
2014-01-31,0.17857413822290022,0.07166396888911135,0.13229183679005732,0.15934942829305337,0.16387488711445103,0.29424574069042675
2014-02-03,0.1774660517422664,0.07251495706550815,0.13131800025598764,0.16058677253244846,0.16599135812536703,0.2921228602784222
2014-02-04,0.17795262148746813,0.07172637848922003,0.1329808018458701,0.1601384542532804,0.1668317550912822,0.2903699888328792
2014-02-05,0.17757122542123255,0.0715055692110688,0.13460208025328319,0.16178703415947598,0.1677748837820973,0.2867592071728422
2014-02-06,0.17866972820115512,0.07103166809263413,0.13933292621828636,0.15944343368954117,0.1667793994372883,0.2847428443610949
2014-02-07,0.17996267993710366,0.07275122020056136,0.13801937861856758,0.16004020062860286,0.1646199196827967,0.2846066009323678
2014-02-10,0.17861321211714706,0.0723273370757734,0.13958190510476565,0.15883392449905093,0.16615140845933463,0.2844922127439283
2014-02-11,0.17748163752418197,0.07337761025425106,0.13965547158130207,0.15970141741977364,0.16497782482493326,0.28480603839555796
2014-02-12,0.17216618241533152,0.0725857579685309,0.14055359392842068,0.1609631411947286,0.16522529675409292,0.28850602773889533
2014-02-13,0.1747250495717502,0.07279518362267923,0.13944999260363639,0.16113762935468312,0.1645450445271578,0.2873471003200934
2014-02-14,0.17380200569998888,0.07274911136458005,0.14102235704836316,0.16184911793139928,0.1647923277578872,0.28578508019778154
2014-02-18,0.17357399960472777,0.07367889274440337,0.14293950013334414,0.1628833137964995,0.1600612811348314,0.28686301258619384
2014-02-19,0.1716501361965736,0.07290539976392002,0.14262264885249862,0.16377046439449702,0.15955294997100447,0.2894984008215063
2014-02-20,0.171759731473396,0.07310745101834237,0.14230141088476103,0.16390659914735892,0.15940500976936342,0.2895197977067784
2014-02-21,0.17036623182776794,0.07242735578258515,0.14407445385339454,0.16269371702895688,0.15898476015619073,0.29145348135110477
2014-02-24,0.1721414248929974,0.07287438355700314,0.1445727750010902,0.16262817567216786,0.15971183657053548,0.288071404306206
2014-02-25,0.17525457844515763,0.07125875426824352,0.1435701503493261,0.16235240629649353,0.16078180319772295,0.2867823074430563
2014-02-26,0.17579878377925073,0.071090549518315,0.14319112045302707,0.1629213312320777,0.16104290625284437,0.2859553087644851
2014-02-27,0.1747595560919907,0.07169298300688955,0.14292457692658528,0.1628735485671261,0.16078891173970222,0.28696042366770597
2014-02-28,0.17473445078091643,0.07149233250860301,0.1427093529265617,0.16187674617047235,0.16043715956760693,0.2887499580458395
2014-03-03,0.17519482824441202,0.07175120383662564,0.14160224559407272,0.16254707399962762,0.1615581023269355,0.2873465459983266
2014-03-04,0.17464071525401276,0.07182301658661698,0.14350795377774592,0.1620937856718998,0.16001739089901848,0.2879171378107061
2014-03-05,0.1780820828880918,0.07078102383731802,0.1447049293562301,0.16213470741530311,0.15962558330109308,0.2846716732019639
2014-03-06,0.17756887232484028,0.0706552481317913,0.14552176564753164,0.16219086614498301,0.1597536968908639,0.28430955085998993
