Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry
VHC,VirnetX Holding Corp,6.47,440503486.47,,,Miscellaneous,Multi-Sector Companies
VGZ,Vista Gold Corporation,0.6859999999999999,68903600.27600001,,,Basic Industries,Precious Metals
VNRX,VolitionRX Limited,3.29,124408030.39,,2015.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VISI,"Volt Information Sciences, Inc.",4.8,101716944.0,,,Technology,Professional Services
EAD,Wells Fargo Income Opportunities Fund,8.01,539530202.79,,2003.0,,
ERC,Wells Fargo Multi-Sector Income Fund,12.37,390180737.37,,2003.0,,
ERH,Wells Fargo Utilities and High Income Fund,12.95,119826531.3,,2004.0,,
WRN,Western Copper and Gold Corporation,0.5886,59350892.9886,,2011.0,Basic Industries,Precious Metals
WYY,WidePoint Corporation,0.4446,37396393.4916,,,Technology,EDP Services
WTT,"Wireless Telecom Group,  Inc.",1.55,33015390.6,,,Capital Goods,Electrical Products
XTNT,"Xtant Medical Holdings, Inc.",3.08,40538226.96,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YUMA,"Yuma Energy, Inc.",0.235,5443343.775,,,Energy,Oil & Gas Production
ZDGE,"Zedge, Inc.",1.91,18763769.33,,2016.0,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Pharmaceuticals Corp.,0.33,35652671.34,,2017.0,Health Care,Major Pharmaceuticals
